"","x"
"1",0.237399134921416
"2",0.344514651830896
"3",0.367440799858077
"4",0.112178578196714
"5",0.121416552457958
"6",0.122627947181697
"7",0.140156984174003
"8",0.0989109869115055
"9",0.190312944507847
"10",0.7486179600981
"11",0.058571281687667
"12",0.706175573035206
"13",0.639054604467559
"14",0.253891383667975
"15",0.110070092914005
"16",0.0244182369315456
"17",0.273866683851584
"18",0.0675615427705149
"19",0.119413628863792
"20",0.123513312234233
"21",0.716399275816695
"22",0.104132558624618
"23",0.2588647615955
"24",0.493667101459511
"25",0.195575823076069
"26",0.234239706153142
"27",0.622211993954388
"28",0.0343298972584307
"29",0.242760188242698
"30",0.00796293092472478
"31",0.0307133742906651
"32",0.0218530007219743
"33",0.853638705445043
"34",0.0253832148424313
"35",0.0298742007774611
"36",0.153112186429401
"37",0.0723277605138719
"38",0.365804291103645
"39",0.501177345684974
"40",0.16876375535503
"41",0.094484027620548
"42",0.638204462177364
"43",0.275250610881452
"44",0.111352942263087
"45",0.806915342144879
"46",0.0377021197540065
"47",0.157513266894966
"48",0.0649277891870667
"49",0.670980546595462
"50",0.459794638974869
"51",0.0617511852954825
"52",0.236531647218669
"53",0.28003736806022
"54",0.502042038338192
"55",0.0608235231290261
"56",0.874132271193179
"57",0.0237283409715912
"58",0.309482210922643
"59",0.557601495307493
"60",0.0548519425404568
"61",0.455822950835927
"62",0.00239427092795571
"63",0.602658146306202
"64",0.422068032111629
"65",0.234117325339154
"66",0.15582762286067
"67",0.0573317512559394
"68",0.15045414151003
"69",0.442994515575575
"70",0.0474660756249174
"71",1.11248777801158
"72",1.01756426189702
"73",0.0794309920617113
"74",0.360637096363707
"75",0.924366658290147
"76",0.233845818731545
"77",0.00431492693509664
"78",0.147606264955054
"79",0.142472257061551
"80",0.886770558191053
"81",0.0598260158080863
"82",1.32439705908748
"83",0.275672653986418
"84",0.0528242688936492
"85",0.237602834488243
"86",0.0320668872445822
"87",1.42688996212227
"88",0.149477966176395
"89",0.0564670000846187
"90",0.00373390906800826
"91",0.266613758155112
"92",0.0785732256043391
"93",0.14273929145808
"94",0.0118240915875756
"95",0.130324315124502
"96",0.333758407879277
"97",0.0538844623769611
"98",0.24257307873187
"99",0.927092141933951
"100",0.448735395742858
"101",0.579441591399479
"102",0.388526792003119
"103",0.00716582018261154
"104",0.408233188389146
"105",0.192400298857441
"106",0.132910146998862
"107",0.412336959800029
"108",0.52861075721364
"109",0.290163551364876
"110",0.0133440684144232
"111",0.0035783260439833
"112",0.0451905653080431
"113",0.257560058172449
"114",0.0872091542308529
"115",0.29910632147527
"116",0.0858687985067566
"117",0.539129671923129
"118",0.060708161133031
"119",0.0657592047153876
"120",0.052800012131532
"121",0.260939944521491
"122",0.559567164601692
"123",0.257865123909876
"124",0.290695562634273
"125",0.1397276198717
"126",0.608487191892473
"127",0.347758807848795
"128",0.908440211745811
"129",0.184054849358896
"130",0.332929998932683
"131",0.0329059472618004
"132",0.0288181609808055
"133",0.0315573560073972
"134",0.22564874139304
"135",0.715994091758371
"136",0.706206847794399
"137",0.522600817155647
"138",0.00188042675675003
"139",0.218718111515045
"140",0.0984867468533588
"141",0.0521561931818724
"142",0.877795665793332
"143",0.131364098905275
"144",0.691590823826003
"145",0.203664056025445
"146",0.0411232276819646
"147",1.15062844499311
"148",0.529802479266598
"149",0.759697477136812
"150",0.55673581731499
"151",0.273955148941183
"152",0.197445511507491
"153",0.436041834129298
"154",0.402359990325673
